2ZC9,22U,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCc3cccc(c3)Cl)N
2ZDA,32U,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCc3ccc(cc3)C(=[NH2+])N)N
2ZDV,37U,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCc3cccc(c3)F)N
2ZF0,51U,Cc1cccc(c1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)N
2ZFF,53U,c1ccc(cc1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCc3ccccc3)N
2ZFP,19U,CC[C@H](C(=O)N1CCC[C@H]1C(=O)NCc2cccc(c2)Cl)N
2ZFQ,45U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)COC3CCCC3)\N
2ZFQ,BEN,[H]/N=C(\c1ccccc1)/N
2ZFR,46U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)COC3CCCCC3)\N
2ZG0,50U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)CCC3CCCCC3)\N
2ZGB,21U,CC(C)C[C@H](C(=O)N1CCC[C@H]1C(=O)NCc2cccc(c2)Cl)N
2ZGX,29U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC)N)\N
2ZHE,13U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)CNC3CCCCCCC3)\N
2ZHF,49U,[H]/N=C(\c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)CCC3CCCC3)/N
2ZHQ,27U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)CCc3ccccc3)\N
2ZHW,12U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)CNC3CCCCCC3)\N
2ZI2,24U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)CCC)\N
2ZIQ,26U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)CCC(C)C)\N
2ZNK,31U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)N)\N
2ZO3,33U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](C(c3ccccc3)c4ccccc4)N)\N
3BIU,10U,c1cc(ccc1CNC(=O)[C@@H]2CCCN2C(=O)CNC3CCCC3)C(=N)N
3BIV,11U,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCCN2C(=O)CNC3CCCCC3)\N
3BV9,4PH,Cc1ccc(cc1)C[C@@H](C(=O)O)N
3BV9,DAR,C(C[C@H](C(=O)O)N)CNC(=[NH2+])N
3BV9,OIC,C1CC[C@H]2[C@@H](C1)C[C@H](N2)C(=O)O
3C1K,T15,Cc1c(n(cn1)CC(=O)NC(C)(C)C)CNC(=O)CN2C(=CC=C(C2=O)NS(=O)(=O)Cc3ccccc3)C
3C27,DKK,[H]/N=C(\N)/NOCCNC(=O)Cc1c(ccc(c1F)NCC(c2ccccn2)(F)F)C#N
3DA9,44U,CCCNC(=O)[C@@H]1CCCN1C(=O)[C@@H](C(c2ccccc2)c3ccccc3)N
3DD2,CFL,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)F
3DD2,P6G,C(COCCOCCOCCOCCOCCO)O
3DD2,UFT,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)F
3DHK,23U,c1ccc(cc1)C(c2ccccc2)[C@H](C(=O)N3CCC[C@H]3C(=O)NCc4cccc(c4)Cl)N
3DT0,16U,CC(C)CCC(=O)N1CCC[C@H]1C(=O)NCc2cccc(c2)Cl
3DUX,64U,c1cc(cc(c1)Cl)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC3CCCCC3)N
3E6P,DFK,[H]/N=C(/N)\NCCC[C@@H](C(C)O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)N
3EGK,M18,CC(C)(C)OC(=O)NCC(=O)N1CCC[C@H]1COC(=O)Cc2cccc(c2)Cl
